Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	default
00:00:05.550	00:00:07.130	00:00:01.580	А(0.1) всем привет,
00:00:07.150	00:00:08.200	00:00:01.050	меня зовут Вова,
00:00:08.200	00:00:13.240	00:00:05.040	сегодня а(0.1) буду рассказывать просто одну из  а(0.1) многочисленных историй своей жизни |E| 
00:00:13.270	00:00:15.460	00:00:02.190	которая происходила на самом деле.
00:00:15.480	00:00:20.140	00:00:04.660	А(0.2) на прошлой неделе...(0.4) б= была отличная погода |E|
00:00:20.150	00:00:21.520	00:00:01.370	если вы помните конечно.
00:00:21.550	00:00:23.140	00:00:01.590	А(0.1) снег,
00:00:23.160	00:00:25.170	00:00:02.010	а(0.1) солнышко даже иг= иногда светило,
00:00:25.200	00:00:28.760	00:00:03.560	то есть ...(0.1) такая хорошая зимняя прохлада была.
00:00:28.800	00:00:29.650	00:00:00.850	И мы |E|
00:00:29.660	00:00:30.490	00:00:00.830	с моей любимой девушкой,
00:00:30.590	00:00:32.000	00:00:01.410	решили сходить на каток.
00:00:32.020	00:00:34.140	00:00:02.120	То есть ну развлечения в жизни тоже нужны,
00:00:34.170	00:00:35.430	00:00:01.260	надо как-то развеяться, 
00:00:35.460	00:00:37.300	00:00:01.840	отойти от повседневной жизни,
00:00:37.300	00:00:41.560	00:00:04.260	от бы= бытовых вот этих всех а(0.2) движений.
00:00:42.410	00:00:49.820	00:00:07.410	Просто расскажу вам про наш ве-черний || вечерние покатушки на катке имени Парка Терешковой |S|
00:00:49.840	00:00:51.480	00:00:01.640	(То есть мы ходили в Челябинске.)
00:00:51.490	00:00:52.250	00:00:00.760	Классный каток,
00:00:52.270	00:00:53.060	00:00:00.790	всем рекомендую,
00:00:53.070	00:00:54.570	00:00:01.500	советую.. |S|
00:00:54.730	00:00:55.700	00:00:00.970	Давайте начнём!
00:00:55.760	00:00:57.880	00:00:02.120	А(0.2) вечер,
00:00:57.890	00:00:59.260	00:00:01.370	а(0.2) погода классаная,
00:00:59.300	00:01:01.430	00:00:02.130	мы тепло оделись,
00:01:01.440	00:01:04.170	00:00:02.730	с хорошим настроением поехали на каток, ...(0.2)
00:01:04.180	00:01:06.130	00:00:01.950	купили билеты, ...(0.2)
00:01:06.180	00:01:07.620	00:00:01.440	арендовали коньки |E|
00:01:07.640	00:01:08.770	00:00:01.130	что самое главное,
00:01:08.800	00:01:11.170	00:00:02.370	то есть без каких либо проблем:
00:01:11.190	00:01:12.740	00:00:01.550	что такм коньклв не хватает,
